1403636580863555328,-0.00734,0.01411,-0.10545,-0.03043,0.83616,0.03799,0.54633,0.08665,0.00346,0.78188,
1403636580963555584,0.00007,0.01566,-0.02827,-0.02206,0.82763,0.03778,0.55957,0.06368,0.02597,0.74413,
1403636581063555584,0.00550,0.01792,0.04139,-0.02313,0.81979,0.03873,0.57089,0.05082,0.01396,0.65121,
1403636581163555328,0.00941,0.01833,0.10118,-0.02509,0.81150,0.03473,0.58278,0.03329,-0.00693,0.53877,
1403636581263555584,0.00984,0.01694,0.14890,-0.02781,0.80157,0.03044,0.59647,-0.00812,-0.01540,0.39200,
1403636581363555328,0.00766,0.01540,0.17419,-0.02755,0.79390,0.03070,0.60665,-0.03022,-0.01617,0.08255,
1403636581463555584,0.00631,0.01308,0.16814,-0.02147,0.79458,0.03303,0.60588,-0.02768,-0.02364,-0.27165,
1403636581563555584,0.00545,0.00999,0.13121,-0.01888,0.80155,0.03348,0.59669,-0.00985,-0.01115,-0.53505,
1403636581663555328,0.00334,0.00732,0.07277,-0.02193,0.80841,0.03188,0.58735,-0.00962,-0.03052,-0.63904,
1403636581763555584,0.00104,0.00395,0.00832,-0.02330,0.81144,0.03307,0.58303,-0.02914,-0.02585,-0.66619,
1403636581863555328,-0.00306,0.00201,-0.05866,-0.02697,0.81369,0.03498,0.57962,-0.05385,-0.01017,-0.67355,
1403636581963555584,-0.00821,0.00243,-0.12364,-0.02824,0.82050,0.03211,0.57005,-0.05351,0.00749,-0.61556,
1403636582063555584,-0.01328,0.00204,-0.18018,-0.02577,0.83005,0.02985,0.55629,-0.04862,0.01269,-0.48479,
1403636582163555328,-0.01755,0.00445,-0.21793,-0.02687,0.83875,0.03170,0.54293,-0.04296,0.02856,-0.23483,
1403636582263555584,-0.01902,0.00729,-0.22632,-0.02832,0.84384,0.03415,0.53476,0.01001,0.02396,0.10247,
1403636582363555328,-0.01686,0.01073,-0.19863,-0.03089,0.84315,0.03487,0.53566,0.02630,0.03895,0.43860,
1403636582463555584,-0.01405,0.01385,-0.14573,-0.03200,0.83558,0.03427,0.54736,0.04158,0.02515,0.59489,
1403636582563555584,-0.00947,0.01536,-0.08223,-0.02855,0.82921,0.03397,0.55717,0.04236,0.00694,0.65454,
1403636582663555328,-0.00541,0.01489,-0.01592,-0.02290,0.82621,0.03247,0.56195,0.02991,-0.00989,0.66037,
1403636582763555584,-0.00127,0.01254,0.04986,-0.02207,0.82308,0.02847,0.56679,0.04916,-0.03340,0.64865,
1403636582863555328,0.00430,0.00848,0.11461,-0.01902,0.81677,0.01995,0.57630,0.04124,-0.04379,0.62998,
1403636582963555584,0.00694,0.00498,0.17118,-0.01742,0.80718,0.01456,0.58987,0.00577,-0.02911,0.48275,
1403636583063555584,0.00660,0.00276,0.20490,-0.01608,0.79908,0.01403,0.60085,-0.00882,-0.01390,0.19110,
1403636583163555328,0.00741,0.00176,0.20738,-0.01198,0.79767,0.01499,0.60278,-0.00851,-0.01084,-0.15411,
1403636583263555584,0.00931,0.00064,0.17938,-0.01093,0.79955,0.01781,0.60024,0.00862,-0.00220,-0.42136,
